Time Bucket (America/Costa_Rica),corriente
2024-08-16_08-42-01,0.06358923763036728
2024-08-16_08-42-06,7.753286838531494
2024-08-16_08-42-08,7.720315933227539
2024-08-16_08-42-10,7.723514080047607
2024-08-16_08-42-12,7.69149923324585
2024-08-16_08-42-17,7.668808460235598
2024-08-16_08-42-19,7.669552326202393
2024-08-16_08-42-21,7.66328763961792
2024-08-16_08-42-23,7.661974906921388
2024-08-16_08-42-28,7.66469669342041
2024-08-16_08-42-30,7.6654462814331055
2024-08-16_08-42-32,7.660460948944093
2024-08-16_08-42-34,7.662645816802978
2024-08-16_08-42-39,7.659947872161865
2024-08-16_08-42-41,7.6391849517822275
2024-08-16_08-42-43,7.639661312103271
2024-08-16_08-42-45,7.659203052520753
2024-08-16_08-42-48,7.639402389526367
2024-08-16_08-42-50,7.639437675476074
2024-08-16_08-42-52,7.638264179229736
2024-08-16_08-42-54,7.640530109405518
2024-08-16_08-42-56,7.636428356170652
2024-08-16_08-42-59,7.634448051452638
2024-08-16_08-43-01,7.637554168701173
2024-08-16_08-43-03,7.634511470794678
2024-08-16_08-43-05,7.638835430145264
2024-08-16_08-43-07,7.636042594909668
2024-08-16_08-43-10,7.637436866760254
2024-08-16_08-43-12,7.640163421630857
2024-08-16_08-43-14,7.639782428741455
2024-08-16_08-43-16,7.640560626983643
2024-08-16_08-43-18,7.658170700073242
2024-08-16_08-43-21,7.639261245727539
2024-08-16_08-43-23,7.640505313873291
2024-08-16_08-43-25,7.658139705657959
2024-08-16_08-43-27,7.659432411193848
2024-08-16_08-43-32,7.661415100097656
2024-08-16_08-43-34,7.660439491271973
2024-08-16_08-43-36,7.660965919494629
2024-08-16_08-43-38,7.657046794891357
2024-08-16_08-43-43,7.657166957855225
2024-08-16_08-43-45,7.640392780303955
2024-08-16_08-43-47,7.639217853546143
2024-08-16_08-43-49,7.63688850402832
2024-08-16_08-43-54,7.635228157043457
2024-08-16_08-43-56,7.63115644454956
2024-08-16_08-43-58,7.630833148956299
2024-08-16_08-44-00,7.631333827972412
2024-08-16_08-44-05,7.627509117126465
2024-08-16_08-44-07,7.6288394927978525
2024-08-16_08-44-09,7.6262593269348145
2024-08-16_08-44-11,7.629044532775879
2024-08-16_08-44-14,7.633668899536133
2024-08-16_08-44-16,7.6325483322143555
2024-08-16_08-44-18,7.628551006317139
2024-08-16_08-44-20,7.627297878265381
2024-08-16_08-44-25,7.62539529800415
2024-08-16_08-44-27,7.625660896301269
2024-08-16_08-44-29,7.6311540603637695
2024-08-16_08-44-31,7.631042003631593
2024-08-16_08-44-36,7.6347336769104
2024-08-16_08-44-38,7.636913299560548
2024-08-16_08-44-40,7.6341233253479
2024-08-16_08-44-42,7.629263401031494
2024-08-16_08-44-47,7.640435218811035
2024-08-16_08-44-49,7.626767635345459
2024-08-16_08-44-51,7.625203609466553
2024-08-16_08-44-53,7.636038780212402
2024-08-16_08-44-58,0.06320125609636308
2024-08-16_08-45-00,0.06359107047319412
2024-08-16_08-45-02,0.06361820548772812
2024-08-16_08-45-04,0.06267058104276657
2024-08-16_08-45-09,0.06307080388069153
2024-08-16_08-45-11,0.06314781308174132
2024-08-16_08-45-13,0.06365183740854262
2024-08-16_08-45-15,0.0631471648812294
2024-08-16_08-45-20,6.136881351470947
2024-08-16_08-45-22,7.727715015411378
2024-08-16_08-45-24,7.700019836425781
2024-08-16_08-45-26,7.671792984008789
2024-08-16_08-45-29,7.6596736907958975
2024-08-16_08-45-31,7.668943405151367
2024-08-16_08-45-33,7.661977767944336
2024-08-16_08-45-35,7.635638236999513
2024-08-16_08-45-40,7.6280250549316415
2024-08-16_08-45-42,7.639451503753662
2024-08-16_08-45-44,7.638227462768555
2024-08-16_08-45-46,7.6389522552490225
2024-08-16_08-45-51,7.63362455368042
2024-08-16_08-45-53,7.632263660430907
2024-08-16_08-45-55,7.631701469421388
2024-08-16_08-45-57,7.134875297546388
2024-08-16_08-46-02,0.06355157494544983
2024-08-16_08-46-04,0.06226545199751854
2024-08-16_08-46-06,0.06313038617372513
2024-08-16_08-46-08,0.062625952064991
2024-08-16_08-46-13,0.06252288073301315
2024-08-16_08-46-15,0.06209754943847656
2024-08-16_08-46-17,0.0640089362859726
2024-08-16_08-46-19,0.06258199363946915
2024-08-16_08-46-24,0.06260816007852554
2024-08-16_08-46-26,0.06268300861120224
2024-08-16_08-46-28,0.0630156397819519
2024-08-16_08-46-30,0.06317627429962157
2024-08-16_08-46-35,0.06347784399986267
2024-08-16_08-46-37,0.06319402903318405
2024-08-16_08-46-39,0.06260131299495697
2024-08-16_08-46-41,0.06406283378601074
2024-08-16_08-46-46,0.06355786323547362
2024-08-16_08-46-48,0.06272479146718979
2024-08-16_08-46-50,0.0635184794664383
2024-08-16_08-46-52,0.0617823526263237
2024-08-16_08-46-57,0.06360290199518204
2024-08-16_08-46-59,0.06347814202308655
2024-08-16_08-47-01,0.0640832930803299
2024-08-16_08-47-03,0.06268218904733658
2024-08-16_08-47-08,0.06307992339134216
2024-08-16_08-47-10,0.06305263936519623
2024-08-16_08-47-12,0.06406627595424652
2024-08-16_08-47-14,0.06370043754577638
2024-08-16_08-47-17,0.062288597226142876
2024-08-16_08-47-19,0.06257359683513641
2024-08-16_08-47-21,0.06256479769945145
2024-08-16_08-47-23,0.06351719051599503
2024-08-16_08-47-25,0.06252961605787277
2024-08-16_08-47-28,0.06314970552921295
2024-08-16_08-47-30,0.0631789043545723
2024-08-16_08-47-32,0.0618765652179718
2024-08-16_08-47-34,0.06320247799158096
2024-08-16_08-47-36,0.06253814697265625
2024-08-16_08-47-39,0.06266894191503525
2024-08-16_08-47-41,0.06321343779563904
2024-08-16_08-47-43,0.06308701634407042
2024-08-16_08-47-45,0.06307993829250336
2024-08-16_08-47-50,0.062311846762895584
2024-08-16_08-47-52,0.06314262747764587
2024-08-16_08-47-54,0.06352261453866959
2024-08-16_08-47-56,0.0631476566195488
2024-08-16_08-48-01,0.06252170354127884
2024-08-16_08-48-03,0.0630871132016182
2024-08-16_08-48-05,0.06237394362688065
2024-08-16_08-48-07,0.06310397386550902
2024-08-16_08-48-12,0.06351718306541443
2024-08-16_08-48-14,0.06251426786184311
2024-08-16_08-48-16,0.0635291337966919
2024-08-16_08-48-18,0.0626312792301178
2024-08-16_08-48-23,0.06364555656909943
2024-08-16_08-48-25,0.06304149329662323
2024-08-16_08-48-27,0.06271284073591232
2024-08-16_08-48-29,0.0627145916223526
2024-08-16_08-48-34,0.0630633533000946
2024-08-16_08-48-36,0.062116276472806924
2024-08-16_08-48-38,0.06263230741024017
2024-08-16_08-48-40,0.06316494941711426
2024-08-16_08-48-43,0.06251850724220276
2024-08-16_08-48-45,0.06321631371974945
2024-08-16_08-48-47,6.0036377906799325
2024-08-16_08-48-49,7.7523016929626465
2024-08-16_08-48-51,7.701121807098389
2024-08-16_08-48-54,7.693474292755128
2024-08-16_08-48-56,7.6675453186035165
2024-08-16_08-48-58,7.665224552154541
2024-08-16_08-49-00,7.6687517166137695
2024-08-16_08-49-05,6.5767130851745605
2024-08-16_08-49-07,0.06352534890174866
2024-08-16_08-49-09,0.06303832679986954
2024-08-16_08-49-11,0.06314113736152649
2024-08-16_08-49-16,0.06310957670211792
2024-08-16_08-49-18,0.06273792684078218
2024-08-16_08-49-20,0.06359187513589859
2024-08-16_08-49-22,0.06307431310415268
2024-08-16_08-49-27,0.06418787688016891
2024-08-16_08-49-29,0.06445551663637161
2024-08-16_08-49-31,0.06320252269506453
2024-08-16_08-49-33,0.06420274078845978
2024-08-16_08-49-38,0.0634828731417656
2024-08-16_08-49-40,0.06409379839897156
2024-08-16_08-49-45,0.0644807368516922
2024-08-16_08-49-47,0.06400837749242783
2024-08-16_08-49-49,0.06466571986675262
2024-08-16_08-49-51,0.06447267532348633
2024-08-16_08-49-54,0.064617820084095
2024-08-16_08-49-56,0.06409701704978943
2024-08-16_08-49-58,0.06410505622625351
2024-08-16_08-50-00,0.06499043107032776
2024-08-16_08-50-02,0.06506503373384476
2024-08-16_08-50-05,0.06459600478410721
2024-08-16_08-50-07,0.06407027691602707
2024-08-16_08-50-09,0.0636560320854187
2024-08-16_08-50-11,0.06398096680641174
2024-08-16_08-50-16,0.06271538138389587
2024-08-16_08-50-18,0.06264638900756836
2024-08-16_08-50-20,0.0627119392156601
2024-08-16_08-50-22,0.0634879469871521
2024-08-16_08-50-27,0.06317658722400665
2024-08-16_08-50-29,0.06466320902109146
2024-08-16_08-50-31,0.06362585723400116
2024-08-16_08-50-33,0.06231832876801492
2024-08-16_08-50-38,0.06368902325630188
2024-08-16_08-50-40,0.06365817785263063
2024-08-16_08-50-42,0.06420203298330307
2024-08-16_08-50-44,0.06496623903512955
2024-08-16_08-50-49,0.06267239153385162
